date,name
2025-01-01,New Year's Day
2025-01-02,Day After New Year's
2025-05-26,Memorial Day
2025-07-04,Independence Day
2025-09-01,Labor Day
2025-11-11,Veterans Day
2025-11-27,Thanksgiving
2025-11-28,Day After Thanksgiving
2025-12-25,Christmas Day
2025-12-26,Day After Christmas
2026-01-01,New Year's Day
2026-01-02,Day After New Year's
2026-05-25,Memorial Day
2026-07-03,Independence Day (Observed)
2026-09-07,Labor Day
2026-11-11,Veterans Day
2026-11-26,Thanksgiving
2026-11-27,Day After Thanksgiving
2026-12-25,Christmas Day
2026-12-26,Day After Christmas
